,country,country_code,date_added,has_expired,job_board,job_description,job_title,job_type,location,organization,page_url,salary,sector,uniq_id,state
244,United States of America,US,,No,jobs.monster.com,business analyst job in santa cruz,business analyst job in santa cruz,,"Santa Cruz, CA",Engineering,http://jobview.monster.com/Business-Analyst-Job-Santa-Cruz-CA-US-167262653.aspx?mescoid=1300087001001&jobPosition=1,,Engineering,5bfd3b75a363ed7f56ca0535686c2603,CA
324,United States of America,US,,No,jobs.monster.com,business analyst job in las vegas,business analyst job in las vegas,Full Time Employee,"Las Vegas, NV",Technology,http://jobview.monster.com/business-analyst-job-las-vegas-nv-us-179214401.aspx?mescoid=1300087001001&jobPosition=3,,Experienced (Non-Manager),0cfe8e1701c1cf62f02c27ea0e259616,NV
331,United States of America,US,,No,jobs.monster.com,business analyst associate job in san francisco,business analyst associate job in san francisco,Full Time Temporary/Contract/Project,"San Francisco, CA 94108",Business/Strategic Management,http://jobview.monster.com/business-analyst-associate-job-san-francisco-ca-us-179198778.aspx?mescoid=1300087001001&jobPosition=8,,Business/Strategic Management,3ea54cca80f6790bb99f6a3f82995585,CA
345,United States of America,US,,No,jobs.monster.com,sr. business analyst job in omaha,sr. business analyst job in omaha,Full Time Employee,"Omaha, NE 68124",Business Services - Other,http://jobview.monster.com/sr-business-analyst-job-omaha-ne-us-179162032.aspx?mescoid=1300087001001&jobPosition=17,,Business/Strategic Management,85d369c3fc64c11b3856d8a636659ba4,NE
385,United States of America,US,,No,jobs.monster.com,business analyst i job in oak brook,business analyst i job in oak brook,"Full Time, Temporary/Contract/Project","Oak Brook, IL 60521",Other/Not Classified,http://jobview.monster.com/business-analyst-i-job-oak-brook-il-us-179171689.aspx?mescoid=1300087001001&jobPosition=20,,Experienced (Non-Manager),21e316b856c704ea93decf447dc2c007,IL
687,United States of America,US,,No,jobs.monster.com,business analyst - health and welfare (sdcsdg) at willis towers watson job in dallas,business analyst - health and welfare (sdcsdg) at willis towers watson job in dallas,Full Time,"Dallas, TX",Other/Not Classified,http://jobview.monster.com/business-analyst-health-welfare-sdcsdg-at-willis-towers-watson-job-dallas-tx-us-168838326.aspx?mescoid=1300087001001&jobPosition=6,,Experienced (Non-Manager),8652c681158cf21191c2ed7591401596,TX
724,United States of America,US,,No,jobs.monster.com,senior database administrator job in dallas,senior database administrator job in dallas,Full Time,"Dallas, TX",Technology,http://jobview.monster.com/senior-database-administrator-job-dallas-tx-us-168899675.aspx?mescoid=1500130001001&jobPosition=3,,Experienced (Non-Manager),9f781a3362afa7826dd5f5cf52b9d8d0,TX
841,United States of America,US,,No,jobs.monster.com,health & welfare business analyst  - interface management team at willis towers watson job in dallas,health & welfare business analyst  - interface management team at willis towers watson job in dallas,Full Time,"Dallas, TX",Other/Not Classified,http://jobview.monster.com/health-welfare-business-analyst-interface-management-team-at-willis-towers-watson-job-dallas-tx-us-168838004.aspx?mescoid=1500123001001&jobPosition=13,,Experienced (Non-Manager),834324f4c573914d69d5cf3ae6ef25fd,TX
859,United States of America,US,,No,jobs.monster.com,business analyst - health and welfare (pittcsdg) at willis towers watson job in dallas,business analyst - health and welfare (pittcsdg) at willis towers watson job in dallas,Full Time,"Dallas, TX",Other/Not Classified,http://jobview.monster.com/business-analyst-health-welfare-pittcsdg-at-willis-towers-watson-job-dallas-tx-us-168838765.aspx?mescoid=1300087001001&jobPosition=2,,Experienced (Non-Manager),c7805d93863e1e2db4bdb67b0ef26ba4,TX
865,United States of America,US,,No,jobs.monster.com,business analyst - health and welfare (pittcsdg) at willis towers watson job in dallas,business analyst - health and welfare (pittcsdg) at willis towers watson job in dallas,Full Time,"Dallas, TX",Other/Not Classified,http://jobview.monster.com/business-analyst-health-welfare-pittcsdg-at-willis-towers-watson-job-dallas-tx-us-168838304.aspx?mescoid=1300087001001&jobPosition=7,,Experienced (Non-Manager),1b2f5c5a522d9088b941171f58a65df4,TX
869,United States of America,US,,No,jobs.monster.com,data analyst (intelligence analyst) at uspis job in new york,data analyst (intelligence analyst) at uspis job in new york,Full Time Employee,"New York, NY 10007",Government and Military,http://jobview.monster.com/data-analyst-intelligence-analyst-at-uspis-job-new-york-ny-us-168740312.aspx?mescoid=1300087001001&jobPosition=10,26.92 - 26.92 $ /hour,Security/Protective Services,0ffbcc42063bd6729cbbbaf693b4073e,NY
906,United States of America,US,,No,jobs.monster.com,business analyst,business analyst,Full Time Temporary/Contract/Project,"Dallas, TX",Technology,http://jobview.monster.com/business-analyst-job-dallas-tx-us-168963441.aspx?mescoid=1300087001001&jobPosition=12,,IT/Software Development,60463786809d7bb8a886def7a569a1b7,TX
994,United States of America,US,,No,jobs.monster.com,business analyst - health and welfare (mspcsdg) at willis towers watson job in dallas,business analyst - health and welfare (mspcsdg) at willis towers watson job in dallas,Full Time,"Dallas, TX",Other/Not Classified,http://jobview.monster.com/business-analyst-health-welfare-mspcsdg-at-willis-towers-watson-job-dallas-tx-us-168838402.aspx?mescoid=1300087001001&jobPosition=4,,Experienced (Non-Manager),c3779593ef85453ac64d0590b442e996,TX
